timestamp_utc,source,city,state,lat,lon,Ta_C,RH_pct,notes
2026-04-24T22:28:08+00:00,nasa_power,Chennai,Tamil Nadu,13.08,80.27,,,no_data
2026-04-24T22:28:08+00:00,nasa_power,Ahmedabad,Gujarat,23.03,72.58,,,no_data
2026-04-24T22:28:08+00:00,nasa_power,Nagpur,Maharashtra,21.15,79.09,,,no_data
2026-04-24T22:28:08+00:00,nasa_power,Bengaluru,Karnataka,12.97,77.59,,,no_data
2026-04-24T22:28:21+00:00,imd_aws,Angul,Odisha,20.84,85.1,,,no imd station configured
2026-04-24T22:28:21+00:00,imd_aws,Bhubaneshwar,Odisha,20.26,85.83,,,station=Bhubaneshwar Airport
2026-04-24T22:28:21+00:00,imd_aws,Cuttack,Odisha,20.46,85.88,27.7,,station=Cuttack Kvk
2026-04-24T22:28:21+00:00,imd_aws,Sambalpur,Odisha,21.47,83.97,26.0,62.0,station=Dhankauda
2026-04-24T22:28:21+00:00,imd_aws,Delhi,Delhi,28.61,77.21,27.4,45.0,station=Kvk Crpf Campus
2026-04-24T22:28:21+00:00,imd_aws,Lucknow,Uttar Pradesh,26.85,80.95,27.3,45.0,station=Meteorological Centre Amausi
2026-04-24T22:28:21+00:00,imd_aws,Kolkata,West Bengal,22.57,88.36,,,station=Kolkata Airport
2026-04-24T22:28:21+00:00,imd_aws,Mumbai,Maharashtra,19.08,72.88,27.5,100.0,station=Mumbai Santa Cruz
2026-04-24T22:28:21+00:00,imd_aws,Chennai,Tamil Nadu,13.08,80.27,26.4,91.0,station=Meenambakkam Isro
2026-04-24T22:28:21+00:00,imd_aws,Ahmedabad,Gujarat,23.03,72.58,30.2,49.0,station=Ahmedabad
2026-04-24T22:28:21+00:00,imd_aws,Nagpur,Maharashtra,21.15,79.09,26.4,49.0,station=Nagpur
2026-04-24T22:28:21+00:00,imd_aws,Bengaluru,Karnataka,12.97,77.59,25.6,66.0,station=Bangalore
2026-04-26T05:44:00+00:00,shram_map,Angul,Odisha,20.84,85.1,27.6,84.0,"{""cell_lat"": 20.75, ""cell_lon"": 85.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 5, ""resolution_deg"": 0.25}"
