imd_archive_utc,shram_archive_utc,bulletin_date,target_date,fc_day,met,imd_def,imd_code,imd_min_tier,shram_def,shram_min_zone,a_both_alert,b_imd_only,c_shram_only,d_both_none,n,kappa
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Warm Night Alert+,11,3,Z>=5,5,0,0,539,69,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Warm Night Alert+,11,3,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Warm Night Warning,11,4,Z>=4,4,0,0,607,1,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Warm Night Warning,11,4,Z>=5,5,0,0,539,69,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Warm Night Warning,11,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Heat Wave Watch+,9,2,Z>=4,4,67,0,541,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Heat Wave Watch+,9,2,Z>=5,5,67,0,499,42,608,0.01821241343602353
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Heat Wave Watch+,9,2,Z>=6,6,0,67,0,541,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Heat Wave Alert+,9,3,Z>=4,4,60,0,548,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Heat Wave Alert+,9,3,Z>=5,5,60,0,506,42,608,0.01611830322877755
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Heat Wave Alert+,9,3,Z>=6,6,0,60,0,548,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Heat Wave Warning,9,4,Z>=4,4,3,0,605,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Heat Wave Warning,9,4,Z>=5,5,3,0,563,42,608,0.0007356461425285111
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Heat Wave Warning,9,4,Z>=6,6,0,3,0,605,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Hot Day Watch+,10,2,Z>=4,4,2,0,606,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Hot Day Watch+,10,2,Z>=5,5,2,0,564,42,608,0.0004896817068905296
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Hot Day Watch+,10,2,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Hot Day Alert+,10,3,Z>=4,4,2,0,606,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Hot Day Alert+,10,3,Z>=5,5,2,0,564,42,608,0.0004896817068905296
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Hot Day Alert+,10,3,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Hot Day Warning,10,4,Z>=4,4,0,0,608,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Hot Day Warning,10,4,Z>=5,5,0,0,566,42,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Hot Day Warning,10,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Warm Night Watch+,11,2,Z>=4,4,5,0,603,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Warm Night Watch+,11,2,Z>=5,5,5,0,561,42,608,0.0012298394181102625
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Warm Night Watch+,11,2,Z>=6,6,0,5,0,603,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Warm Night Alert+,11,3,Z>=4,4,0,0,608,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Warm Night Alert+,11,3,Z>=5,5,0,0,566,42,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Warm Night Alert+,11,3,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Warm Night Warning,11,4,Z>=4,4,0,0,608,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Warm Night Warning,11,4,Z>=5,5,0,0,566,42,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,5,Warm Night Warning,11,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Heat Wave Watch+,9,2,Z>=4,4,67,0,541,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Heat Wave Watch+,9,2,Z>=5,5,67,0,518,23,608,0.00969103155087946
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Heat Wave Watch+,9,2,Z>=6,6,0,67,0,541,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Heat Wave Alert+,9,3,Z>=4,4,60,0,548,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Heat Wave Alert+,9,3,Z>=5,5,60,0,525,23,608,0.008572493477450618
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Heat Wave Alert+,9,3,Z>=6,6,0,60,0,548,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Heat Wave Warning,9,4,Z>=4,4,3,0,605,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Heat Wave Warning,9,4,Z>=5,5,3,0,582,23,608,0.00038983711588332315
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Heat Wave Warning,9,4,Z>=6,6,0,3,0,605,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Hot Day Watch+,10,2,Z>=4,4,2,0,606,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Hot Day Watch+,10,2,Z>=5,5,2,0,583,23,608,0.00025947946163652774
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Hot Day Watch+,10,2,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Hot Day Alert+,10,3,Z>=4,4,2,0,606,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Hot Day Alert+,10,3,Z>=5,5,2,0,583,23,608,0.00025947946163652774
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Hot Day Alert+,10,3,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Hot Day Warning,10,4,Z>=4,4,0,0,608,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Hot Day Warning,10,4,Z>=5,5,0,0,585,23,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Hot Day Warning,10,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Warm Night Watch+,11,2,Z>=4,4,5,0,603,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Warm Night Watch+,11,2,Z>=5,5,5,0,580,23,608,0.0006517981126193762
